language,section,type,ipa,example,filename
English (General American),Diphthongs,phoneme,oʊ,close,american_english-phoneme-ow.mp3
English (General American),Diphthongs,word,,close,american_english-word-close.mp3
English (General American),Consonants,phoneme,p,pick,american_english-phoneme-p.mp3
English (General American),Consonants,word,,pick,american_english-word-pick.mp3
English (General American),Consonants,phoneme,t,tango,american_english-phoneme-t.mp3
English (General American),Consonants,word,,tango,american_english-word-tango.mp3
English (General American),Consonants,phoneme,k,kilo,american_english-phoneme-k.mp3
English (General American),Consonants,word,,kilo,american_english-word-kilo.mp3
English (General American),Consonants,phoneme,tʃ,church,american_english-phoneme-ch.mp3
English (General American),Consonants,word,,church,american_english-word-church.mp3
English (General American),Consonants,phoneme,f,fly,american_english-phoneme-f.mp3
English (General American),Consonants,word,,fly,american_english-word-fly.mp3
English (General American),Consonants,phoneme,θ,thank,american_english-phoneme-theta.mp3
English (General American),Consonants,word,,thank,american_english-word-thank.mp3
English (General American),Consonants,phoneme,s,stay,american_english-phoneme-s.mp3
English (General American),Consonants,word,,stay,american_english-word-stay.mp3
English (General American),Consonants,phoneme,ʃ,ship,american_english-phoneme-sh.mp3
English (General American),Consonants,word,,ship,american_english-word-ship.mp3
English (General American),Consonants,phoneme,h,high,american_english-phoneme-h.mp3
English (General American),Consonants,word,,high,american_english-word-high.mp3
English (General American),Consonants,phoneme,b,bat,american_english-phoneme-b.mp3
English (General American),Consonants,word,,bat,american_english-word-bat.mp3
English (General American),Consonants,phoneme,d,dog,american_english-phoneme-d.mp3
English (General American),Consonants,word,,dog,american_english-word-dog.mp3
English (General American),Consonants,phoneme,g,go,american_english-phoneme-g.mp3
English (General American),Consonants,word,,go,american_english-word-go.mp3
English (General American),Consonants,phoneme,dʒ,job,american_english-phoneme-dzh.mp3
English (General American),Consonants,word,,job,american_english-word-job.mp3
English (General American),Consonants,phoneme,v,victor,american_english-phoneme-v.mp3
English (General American),Consonants,word,,victor,american_english-word-victor.mp3
English (General American),Consonants,phoneme,ð,this,american_english-phoneme-eth.mp3
English (General American),Consonants,word,,this,american_english-word-this.mp3
English (General American),Consonants,phoneme,z,zoo,american_english-phoneme-z.mp3
English (General American),Consonants,word,,zoo,american_english-word-zoo.mp3
English (General American),Consonants,phoneme,ʒ,measure,american_english-phoneme-zh.mp3
English (General American),Consonants,word,,measure,american_english-word-measure.mp3
English (General American),Consonants,phoneme,m,mike,american_english-phoneme-m.mp3
English (General American),Consonants,word,,mike,american_english-word-mike.mp3
English (General American),Consonants,phoneme,n,november,american_english-phoneme-n.mp3
English (General American),Consonants,word,,november,american_english-word-november.mp3
English (General American),Consonants,phoneme,ŋ,bring,american_english-phoneme-ng.mp3
English (General American),Consonants,word,,bring,american_english-word-bring.mp3
English (General American),Consonants,phoneme,w,wednesday,american_english-phoneme-w.mp3
English (General American),Consonants,word,,wednesday,american_english-word-wednesday.mp3
English (General American),Consonants,phoneme,l,london,american_english-phoneme-l.mp3
English (General American),Consonants,word,,london,american_english-word-london.mp3
English (General American),Consonants,phoneme,r,robert,american_english-phoneme-r.mp3
English (General American),Consonants,word,,robert,american_english-word-robert.mp3
English (General American),Consonants,phoneme,j,yankee,american_english-phoneme-j.mp3
English (General American),Consonants,word,,yankee,american_english-word-yankee.mp3
